time,ground_force_1_vx,ground_force_1_vy,ground_force_1_vz,ground_force_1_px,ground_force_1_py,ground_force_1_pz,ground_moment_1_mx,ground_moment_1_my,ground_moment_1_mz,ground_force_2_vx,ground_force_2_vy,ground_force_2_vz,ground_force_2_px,ground_force_2_py,ground_force_2_pz,ground_moment_2_mx,ground_moment_2_my,ground_moment_2_mz,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87
134.95,-25.03079549,0.008146913,-10.58055522,-0.002026745,-3.79e-06,-0.001365018,1.78e-05,-0.008935001,5.02e-05,-37.84521611293176,-1.3084363023105503,-3.768229896528571,-0.000246813,6.34e-06,-0.000257284,-4.72e-07,0.000376387,-2.59e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134.96,-24.90799762,-0.450721081,-10.41911733,0.009227179,3.52e-05,0.001576952,0.000106199,-0.053292315,0.000299119,-37.593043062931756,-1.2205659923105507,-3.715704861528571,-0.000244195,6.35e-06,-0.000256968,-4.77e-07,0.000380649,-2.62e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134.97,-24.99819047,0.286826752,-10.84678259,0.008576482,3.09e-05,0.001049646,0.000114786,-0.057601237,0.000323304,-37.24930220093176,-1.2173922223105507,-3.710337681528571,-0.000243821,6.34e-06,-0.000258689,-5.07e-07,0.000404232,-2.78e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134.98,-25.27531658,3.892837388,-11.35462574,-0.001750553,-2.85e-06,-0.001296854,1.76e-05,-0.008831075,4.96e-05,-37.23630520693176,-1.4403262623105508,-3.547358370528571,-0.0002429,6.34e-06,-0.000259152,-4.23e-07,0.000337383,-2.32e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134.99,-25.31643817,4.353827215,-12.19022567,0.000323489,3.43e-06,-0.000914054,4.12e-05,-0.020680836,0.000116077,-37.45820338493176,-1.2021887123105515,-3.716081669528571,-0.000248423,6.32e-06,-0.000260029,-4.57e-07,0.000364542,-2.51e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135.0,-25.30184677,16.50697415,-9.12030413,-0.000169883,2.19e-06,-0.000958945,3.33e-05,-0.016729899,9.39e-05,-37.33535007493176,-1.4285306223105518,-4.058468568528571,-0.000246198,6.3e-06,-0.000263541,-4.92e-07,0.000392452,-2.7e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135.01,-24.99928745,37.02011907,-5.660705626,-0.000309201,1.35e-06,-0.001060083,3.55e-05,-0.017834803,0.000100103,-37.28011405493176,-1.3318067223105512,-3.884954548528571,-0.000242195,6.35e-06,-0.000257783,-4.51e-07,0.000359516,-2.47e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135.02,-24.56367883,104.3064205,-1.083742025,-4.44e-05,2.44e-06,-0.000960104,3.66e-05,-0.018344568,0.000102964,-37.41432521493176,-1.1174579523105503,-3.656975192528571,-0.000245032,6.34e-06,-0.000258412,-5.01e-07,0.000399825,-2.75e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135.03,-22.38856512,207.9750095,6.171519675,-0.000301224,1.61e-06,-0.001016562,3.48e-05,-0.017480238,9.81e-05,-37.27132521293176,-1.1030764923105512,-3.688040958528571,-0.00024117,6.35e-06,-0.000257119,-5.1e-07,0.000406622,-2.8e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135.04,-21.21190722,242.0562737,-1.579929471,-0.000119787,2.31e-06,-0.00095625,3.54e-05,-0.017788879,9.98e-05,-37.34057819793176,-1.298180882310552,-3.772560954528571,-0.000246196,6.32e-06,-0.000261317,-4.29e-07,0.000342598,-2.36e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135.05,-24.21026644,262.8092501,-10.57080001,-0.000229365,1.99e-06,-0.000974493,3.34e-05,-0.016736837,9.39e-05,-37.41185673793176,-1.4360949123105513,-3.685227042528571,-0.00024464,6.3e-06,-0.000264598,-4.15e-07,0.000331022,-2.28e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135.06,-27.68576011,294.1093398,-13.66213675,-0.000166396,2.23e-06,-0.000954345,3.33e-05,-0.016709152,9.38e-05,-37.329963094931756,-1.452606312310552,-3.795578971528571,-0.000241088,6.32e-06,-0.000261415,-4.87e-07,0.000388392,-2.67e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135.07,-31.22794187,314.5166657,-16.09643868,-0.000192141,2.16e-06,-0.000956532,3.29e-05,-0.016515613,9.27e-05,-37.26683281493176,-1.4640772323105509,-3.651996710528571,-0.000246049,6.3e-06,-0.000263541,-5e-07,0.000399181,-2.75e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135.08,-34.9902227,337.516471,-18.68383641,-0.000179772,2.22e-06,-0.000951001,3.27e-05,-0.016433779,9.22e-05,-37.359423473931756,-1.277702482310552,-3.462485128528571,-0.000244013,6.31e-06,-0.000262812,-4.28e-07,0.00034168,-2.35e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135.09,-38.5167,366.8711172,-23.99809872,-0.00017882,2.25e-06,-0.000944779,3.2e-05,-0.016049425,9.01e-05,-37.44370028893176,-1.1983599423105513,-3.6692161805285712,-0.000247971,6.33e-06,-0.000259383,-3.8e-07,0.000303169,-2.09e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135.1,-44.09112321,420.3613625,-30.59460941,-0.000177661,2.3e-06,-0.000937615,3.12e-05,-0.015680688,8.8e-05,-37.32539342693176,-1.4424090923105517,-3.811781993528571,-0.000248445,6.31e-06,-0.000261561,-4.59e-07,0.000366247,-2.52e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135.11,-49.03043282,496.0489919,-37.25770264,-0.000173594,2.35e-06,-0.000929183,3.06e-05,-0.015377804,8.63e-05,-37.22307701593176,-1.533027952310551,-3.797191050528571,-0.000244527,6.29e-06,-0.000264875,-3.98e-07,0.000317264,-2.18e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135.12,-51.63229746,572.4146043,-39.77923275,-0.000175886,2.37e-06,-0.0009253,3.07e-05,-0.01540301,8.65e-05,-37.19213769493176,-1.390054732310551,-3.8018394845285712,-0.000250543,6.31e-06,-0.0002616,-3.81e-07,0.000303897,-2.09e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135.13,-53.90869021,633.1665382,-38.45719755,-0.000174573,2.38e-06,-0.0009234,3.1e-05,-0.015557565,8.73e-05,-37.40422440093176,-1.4429722423105513,-3.708339177528571,-0.000243743,6.33e-06,-0.000259142,-3.94e-07,0.000313941,-2.16e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135.14,-56.92398602,683.307184,-37.79935404,-0.00017508,2.39e-06,-0.000921919,3.1e-05,-0.015573292,8.74e-05,-37.244342265931756,-1.2090252723105515,-3.634885819528571,-0.000241373,6.35e-06,-0.000257076,-3.87e-07,0.000308783,-2.12e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135.15,-59.69640257,724.068696,-38.17588321,-0.000174443,2.4e-06,-0.000920175,3.12e-05,-0.015659037,8.79e-05,-37.09216539693176,-1.3550141623105514,-3.868645507528571,-0.000247155,6.32e-06,-0.000260443,-4.21e-07,0.000336075,-2.31e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135.16,-61.09411431,753.2360965,-38.20255182,-0.000174554,2.41e-06,-0.000919273,3.11e-05,-0.01560359,8.76e-05,-37.23342454493176,-1.3733663723105511,-3.903406938528571,-0.00024568,6.32e-06,-0.00026038,-4.19e-07,0.000334612,-2.3e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135.17,-62.25448168,775.1154415,-37.83021109,-0.000174232,2.41e-06,-0.000918293,3.12e-05,-0.015658274,8.79e-05,-37.36741184893176,-1.2086234023105504,-3.813903908528571,-0.000246743,6.34e-06,-0.000257035,-3.7e-07,0.000295216,-2.03e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135.18,-63.25833292,793.4528885,-37.48456845,-0.000174057,2.42e-06,-0.000917303,3.14e-05,-0.015734606,8.83e-05,-37.30245582493176,-1.2608307423105511,-3.809075407528571,-0.00024617,6.34e-06,-0.000257993,-2.93e-07,0.000233915,-1.61e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135.19,-64.11445816,809.6448402,-36.33271168,-0.000173995,2.42e-06,-0.000916692,3.15e-05,-0.015809662,8.87e-05,-37.22412772293176,-1.3908330323105513,-3.968282668528571,-0.000244909,6.33e-06,-0.000259267,-3.43e-07,0.000273441,-1.88e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135.2,-64.47943323,823.1037884,-33.9134482,-0.000173893,2.42e-06,-0.000916598,3.18e-05,-0.015964862,8.96e-05,-37.212680147931756,-1.2501241223105506,-3.795814580528571,-0.000246699,6.35e-06,-0.000255893,-3.27e-07,0.000260952,-1.79e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
